Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR11605261_kneaddata_paired_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.6018378847154072e-05)	(8, 1.6018378847154072e-05)	(9, 3.2036757694308143e-05)	(10, 3.2036757694308143e-05)	(12, 3.2036757694308143e-05)	(14, 4.805513654146221e-05)	(16, 8.81010836593474e-05)	(18, 0.00011212865193007849)	(20, 0.00012013784135365553)	(22, 0.00014416540962438663)	(24, 0.00018421135674227183)	(26, 0.00022425730386015698)	(28, 0.00025629406155446515)	(30, 0.00025629406155446515)	(32, 0.0002963400086723503)	(34, 0.0003363859557902355)	(36, 0.00037643190290812065)	(38, 0.0004084686606024288)	(40, 0.00044050541829673693)	(42, 0.00044851460772031397)	(44, 0.00046453298656746805)	(46, 0.0005205973125325073)	(48, 0.0006086983961918547)	(50, 0.0006647627221568939)	(52, 0.0007608729952398184)	(54, 0.0008329557000520116)	(56, 0.0009851302990999753)	(58, 0.0012574427395015946)	(60, 0.0016098470741389842)	(62, 0.0019942881664706817)	(64, 0.002482848721308881)	(66, 0.0032997860425137385)	(68, 0.004108714174295019)	(70, 0.005101853662818571)	(72, 0.006535498569638861)	(74, 0.008001180234153457)	(76, 0.00969912839195179)	(78, 0.011517214391103776)	(80, 0.014112191764342736)	(82, 0.016979481577983315)	(84, 0.020271258431073476)	(86, 0.02406761421784899)	(88, 0.028584797052746438)	(90, 0.0334463750328577)	(92, 0.03906882600820878)	(94, 0.045428122410528946)	(96, 0.052580328565783235)	(98, 0.05994878283547411)	(100, 0.06848657876100722)	(102, 0.07756099037792001)	(104, 0.08791687230260511)	(106, 0.09965033480814547)	(108, 0.11288151573589474)	(110, 0.12720194642525048)	(112, 0.14144228522037045)	(114, 0.1572123791953936)	(116, 0.17506486242054684)	(118, 0.19416677919577807)	(120, 0.21489456142399543)	(122, 0.23843356913988834)	(124, 0.26324603797413)	(126, 0.29135829285088544)	(128, 0.3207440088459895)	(130, 0.3511629102767351)	(132, 0.3850497907278896)	(134, 0.42128336368015207)	(136, 0.4613693567451551)	(138, 0.5023443698361753)
SRR11605261_kneaddata_paired_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.6018378847154072e-05)	(8, 1.6018378847154072e-05)	(9, 3.2036757694308143e-05)	(10, 4.004594711788518e-05)	(12, 4.805513654146221e-05)	(14, 6.407351538861629e-05)	(16, 0.00010411946250650145)	(18, 0.00012814703077723257)	(20, 0.0001361562202008096)	(22, 0.0001601837884715407)	(24, 0.0001842113567422718)	(26, 0.00020823892501300293)	(28, 0.0002482848721308881)	(30, 0.00025629406155446515)	(32, 0.0002963400086723503)	(34, 0.0003684227134845436)	(36, 0.0004244870394495829)	(38, 0.0004725421759910451)	(40, 0.0005205973125325073)	(42, 0.0005286065019560844)	(44, 0.0005446248808032384)	(46, 0.0006006892067682776)	(48, 0.0006887902904276251)	(50, 0.0007448546163926642)	(52, 0.0008569832683227428)	(54, 0.0009290659731349361)	(56, 0.0010652221933357456)	(58, 0.001337534633737365)	(60, 0.0016739205895276005)	(62, 0.0020903984395536064)	(64, 0.0026350233203568446)	(66, 0.0034759882098324333)	(68, 0.004300934720460867)	(70, 0.005294074208984421)	(72, 0.006759755873499018)	(74, 0.008161364022625)	(76, 0.009867321369846908)	(78, 0.011741471694963933)	(80, 0.014320430689355738)	(82, 0.0172277664501142)	(84, 0.020599635197440132)	(86, 0.02442001855248638)	(88, 0.02896122895565456)	(90, 0.03402303667135524)	(92, 0.03970956116209494)	(94, 0.04605283918556795)	(96, 0.0533251831821759)	(98, 0.06077372934610255)	(100, 0.06937559878702428)	(102, 0.07865824932895006)	(104, 0.08901413125363516)	(106, 0.10090777754764707)	(108, 0.1144272892946451)	(110, 0.1289319313407431)	(112, 0.143476619333959)	(114, 0.15964717278016105)	(116, 0.1778040052034102)	(118, 0.19730638144982027)	(120, 0.21862684369538232)	(122, 0.2427345038603492)	(124, 0.2679394229763461)	(126, 0.2963960729983154)	(128, 0.32619025765402193)	(130, 0.35676133368381546)	(132, 0.3913129768571268)	(134, 0.427874926575756)	(136, 0.46843346181675005)	(138, 0.5100331916828091)
SRR11605262_1 - illumina_universal_adapter	(1, 0.00012175077616119802)	(2, 0.00012175077616119802)	(3, 0.00012175077616119802)	(4, 0.0001565367122072546)	(5, 0.0001565367122072546)	(6, 0.0001565367122072546)	(7, 0.00022610858429936777)	(8, 0.00024350155232239604)	(9, 0.0002782874883684526)	(10, 0.0002956804563914809)	(12, 0.0003217699084260234)	(14, 0.00035655584447207993)	(16, 0.00042612771656419307)	(18, 0.0005478784927253911)	(20, 0.0006348433328405326)	(22, 0.000782683561036273)	(24, 0.0009827026933010984)	(26, 0.0011131499534738107)	(28, 0.0012349007296350086)	(30, 0.0014870987659689188)	(32, 0.0018958335145100834)	(34, 0.0024002295871779038)	(36, 0.0032785744723408325)	(38, 0.005104836114758803)	(40, 0.008044247710650584)	(42, 0.012244649488211915)	(44, 0.017653862543373713)	(46, 0.025028480985137706)	(48, 0.034864204402160204)	(50, 0.04753498160693631)	(52, 0.06377131725643323)	(54, 0.08334710276635157)	(56, 0.10621885571663377)	(58, 0.13492594943864195)	(60, 0.16842480585099445)	(62, 0.20508918244353808)	(64, 0.24780631190809554)	(66, 0.29610658410804513)	(68, 0.3498508552992025)	(70, 0.4093608953899938)	(72, 0.47521936880919047)	(74, 0.547165381036447)	(76, 0.6233378844932993)	(78, 0.7060153579907644)	(80, 0.7961370218020853)	(82, 0.8953030289853812)	(84, 0.9999043386758734)	(86, 1.1095670020610666)	(88, 1.2273695744810373)	(90, 1.3536860047482802)	(92, 1.4904643052813746)	(94, 1.6362695562184209)	(96, 1.790432128290532)	(98, 1.9557348963813932)	(100, 2.1293515031872614)	(102, 2.3109514823156996)	(104, 2.5061179765021)	(106, 2.709720060179669)	(108, 2.924871074624529)	(110, 3.158336884397638)	(112, 3.400133925853777)	(114, 3.6537842750176104)	(116, 3.9179138874153177)	(118, 4.196636199984346)	(120, 4.49112523806625)	(122, 4.799059040429954)	(124, 5.123864021775995)	(126, 5.460061397177121)	(128, 5.812712520328031)	(130, 6.181199940863909)	(132, 6.564636617415578)	(134, 6.969684056735861)	(136, 7.3888371931228205)	(138, 7.826766038490638)
SRR11605262_1 - polya	(1, 0.0010957569854507822)	(2, 0.00610493177608293)	(3, 0.00834862465105358)	(4, 0.011914183095774378)	(5, 0.02144552957239388)	(6, 0.03911678508379062)	(7, 0.049239492473193085)	(8, 0.05797076242075329)	(9, 0.06423223090904348)	(10, 0.08045117359051736)	(12, 0.10757550722242998)	(14, 0.1260990181669551)	(16, 0.15897172773047857)	(18, 0.1902268912678604)	(20, 0.21587282261781562)	(22, 0.23524858899546913)	(24, 0.251484924644966)	(26, 0.26937359225665064)	(28, 0.28838410630582056)	(30, 0.31279513692614075)	(32, 0.33646696640548224)	(34, 0.36904399551261424)	(36, 0.38734139787284005)	(38, 0.40630842950195234)	(40, 0.42801485359469166)	(42, 0.45088660654497387)	(44, 0.47963718268703964)	(46, 0.5044482515718895)	(48, 0.5187104853507727)	(50, 0.5338510640148189)	(52, 0.5569402290653889)	(54, 0.5752289349416031)	(56, 0.5917783440155144)	(58, 0.6079103218568733)	(60, 0.6225291114802285)	(62, 0.6405047439320283)	(64, 0.6679769369244015)	(66, 0.6862395533485812)	(68, 0.7035629494995173)	(70, 0.7360008348624651)	(72, 0.7636730469871031)	(74, 0.7822748262877319)	(76, 0.8035203367278609)	(78, 0.82723564862726)	(80, 0.8464722712607293)	(82, 0.8642044021602067)	(84, 0.8809973127864403)	(86, 0.9023471810347077)	(88, 0.9232709215664108)	(90, 0.9445164320065398)	(92, 0.964057431580412)	(94, 0.9850855299202532)	(96, 1.0009305237892319)	(98, 1.0193757663776535)	(100, 1.0358469070954612)	(102, 1.0546574020123665)	(104, 1.0727286957882929)	(106, 1.0916783344493821)	(108, 1.1083060118793973)	(110, 1.133064901860178)	(112, 1.150031742166642)	(114, 1.1668855281809565)	(116, 1.1842176208159043)	(118, 1.202384575915957)	(120, 1.2207602466322864)	(122, 1.2373705310942786)	(124, 1.255459217838228)	(126, 1.2726347737609685)	(128, 1.299332979676317)	(130, 1.319126177286523)	(132, 1.335684282844446)	(134, 1.3527206950230022)	(136, 1.3679482385271635)	(138, 1.3838280183321883)
SRR11605262_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0011653288575428954)	(4, 0.0018436546104409987)	(5, 0.002104549130786423)	(6, 0.002261085842993678)	(7, 0.0022958717790397343)	(8, 0.002330657715085791)	(9, 0.0024002295871779038)	(10, 0.002452408491246989)	(12, 0.002626338171477272)	(14, 0.0026872135595578705)	(16, 0.002774178399673012)	(18, 0.0028611432397881538)	(20, 0.0029741975319378376)	(22, 0.0030785553400760075)	(24, 0.003130734244145092)	(26, 0.0032090026002487195)	(28, 0.0033394498604214316)	(30, 0.003409021732513545)	(32, 0.0034698971205941436)	(34, 0.0035133795406517144)	(36, 0.0035916478967553418)	(38, 0.0036960057048935112)	(40, 0.0037394881249510825)	(42, 0.003843845933089252)	(44, 0.0040699545173886196)	(46, 0.0044004209098261575)	(48, 0.004583047074067955)	(50, 0.004852638078424893)	(52, 0.005113532598770317)	(54, 0.005252676342954544)	(56, 0.005374427119115741)	(58, 0.005670107575507222)	(60, 0.005870126707772047)	(62, 0.0060614493560253585)	(64, 0.006174503648175043)	(66, 0.006331040360382297)	(68, 0.00696588369322283)	(70, 0.011818521771647723)	(72, 0.01427093026289471)	(74, 0.014810112271608588)	(76, 0.015088399759977042)	(78, 0.01535799076433398)	(80, 0.015584099348633347)	(82, 0.01579281496490969)	(84, 0.01599283409717451)	(86, 0.01626242510153145)	(88, 0.016601587977980503)	(90, 0.016836393046291386)	(92, 0.01716685943872892)	(94, 0.017384271539016775)	(96, 0.017706041447442797)	(98, 0.018123472679995478)	(100, 0.0184452425884215)	(102, 0.01890615624103175)	(104, 0.019732322222125596)	(106, 0.020697631947403664)	(108, 0.021958622129073214)	(110, 0.024602353268573515)	(112, 0.027933106644983434)	(114, 0.032942281435615575)	(116, 0.03874283627129552)	(118, 0.05070050178712747)	(120, 0.059179573698353756)	(122, 0.07444190313856108)	(124, 0.08939985563836542)	(126, 0.1124542347528894)	(128, 0.14450947481933055)	(130, 0.16598109384375898)	(132, 0.20176712555113968)	(134, 0.23857934237187906)	(136, 0.2942803224656272)	(138, 0.3384671577281305)
SRR11605262_2 - illumina_universal_adapter	(1, 5.217890406908487e-05)	(2, 5.217890406908487e-05)	(3, 5.217890406908487e-05)	(4, 8.696484011514145e-05)	(5, 8.696484011514145e-05)	(6, 8.696484011514145e-05)	(7, 0.0001565367122072546)	(8, 0.0001739296802302829)	(9, 0.00020871561627633947)	(10, 0.00022610858429936777)	(12, 0.0002348050683108819)	(14, 0.0002782874883684526)	(16, 0.0003478593604605658)	(18, 0.00045221716859873554)	(20, 0.0005565749767369053)	(22, 0.0007565941090017306)	(24, 0.0009827026933010984)	(26, 0.0011392394055083528)	(28, 0.0013479550217846924)	(30, 0.0016523319621876875)	(32, 0.002104549130786423)	(34, 0.0026698205915348426)	(36, 0.0035742549287323135)	(38, 0.005417909539173312)	(40, 0.008366017619076608)	(42, 0.012740349076868222)	(44, 0.018201741036099103)	(46, 0.025602448929897645)	(48, 0.0352903321187244)	(50, 0.04792632338745445)	(52, 0.06420614145700893)	(54, 0.0838688918070424)	(56, 0.10674934124133613)	(58, 0.13557818573950553)	(60, 0.1692509718320883)	(62, 0.20594143787666647)	(64, 0.24860638843715485)	(66, 0.29724582351355344)	(68, 0.35103357712476846)	(70, 0.41060449260364035)	(72, 0.47659341328300964)	(74, 0.5488264094826462)	(76, 0.6251119672316483)	(78, 0.7075807251128369)	(80, 0.7973458330796859)	(82, 0.8961031055144405)	(84, 1.000052178904069)	(86, 1.1095930915131014)	(88, 1.2267434276322082)	(90, 1.3524684969866683)	(92, 1.4891250467436015)	(94, 1.634695492612337)	(96, 1.7888058857803788)	(98, 1.9540738679351937)	(100, 2.1277774395811773)	(102, 2.308994773413109)	(104, 2.503630782074807)	(106, 2.7062501630590754)	(108, 2.9204880466827263)	(110, 3.1528494029863725)	(112, 3.39417683430589)	(114, 3.6462183339275933)	(116, 3.9101566236770475)	(118, 4.187661428484464)	(120, 4.48113297793702)	(122, 4.788510205323988)	(124, 5.112149857812486)	(126, 5.448216785953439)	(128, 5.798467679517171)	(130, 6.1649549087304)	(132, 6.5465044482515715)	(134, 6.949612571637287)	(136, 7.366730730765552)	(138, 7.801485359469167)
SRR11605262_2 - polya	(1, 0.002087156162763395)	(2, 0.007305046569671882)	(3, 0.010383601909747889)	(4, 0.01445355642713651)	(5, 0.024437120072354747)	(6, 0.04362156380175495)	(7, 0.053935593839410725)	(8, 0.06414526606892833)	(9, 0.0715024915426693)	(10, 0.08900851385784728)	(12, 0.1168198697266695)	(14, 0.1379088434545913)	(16, 0.17152945064310499)	(18, 0.20250632669211838)	(20, 0.22932628338362798)	(22, 0.2511022793484594)	(24, 0.269564914904904)	(26, 0.2883232309177399)	(28, 0.30765551487533593)	(30, 0.33197958065554095)	(32, 0.35631234291975755)	(34, 0.38848063727834836)	(36, 0.40579533694527303)	(38, 0.42578855368774404)	(40, 0.4480602492412318)	(42, 0.47204515214498777)	(44, 0.5016305907521589)	(46, 0.526937359225665)	(48, 0.5424518867022063)	(50, 0.5587751871918183)	(52, 0.5823600518310448)	(54, 0.6007096330953396)	(56, 0.6177634382419188)	(58, 0.6348607258085557)	(60, 0.6507231126455574)	(62, 0.6696727513066467)	(64, 0.698145039960344)	(66, 0.7162250302202819)	(68, 0.735644279017993)	(70, 0.7693953334666794)	(72, 0.797719781892181)	(74, 0.815834558088165)	(76, 0.8370713720442825)	(78, 0.8617259042169252)	(80, 0.8826931271686858)	(82, 0.9024602353268574)	(84, 0.9190009479167572)	(86, 0.9413943942464063)	(88, 0.9622485629060171)	(90, 0.9837549678664916)	(92, 1.004061258033377)	(94, 1.0236022576072494)	(96, 1.0401255772291262)	(98, 1.058605605753594)	(100, 1.0747810660150101)	(102, 1.094200314812721)	(104, 1.112410752332832)	(106, 1.1321256815869343)	(108, 1.1508057292436669)	(110, 1.1732774439294194)	(112, 1.1901747123637914)	(114, 1.207202428058336)	(116, 1.225821600326988)	(118, 1.2449973475723763)	(120, 1.2642687561418917)	(122, 1.2809573089599875)	(124, 1.2992286218681786)	(126, 1.3163954813069076)	(128, 1.342093591560932)	(130, 1.3633130125490265)	(132, 1.378801450573533)	(134, 1.3958204697840664)	(136, 1.4124394507300697)	(138, 1.428527946151371)
SRR11605262_2 - polyg	(1, 0.02615902390663455)	(2, 0.026576455139187227)	(3, 0.026611241075233282)	(4, 0.02662863404325631)	(5, 0.02664602701127934)	(6, 0.026680812947325397)	(7, 0.026750384819417508)	(8, 0.026819956691509623)	(9, 0.026906921531624765)	(10, 0.026993886371739904)	(12, 0.027219994956039273)	(14, 0.02728087034411987)	(16, 0.02737653166824653)	(18, 0.027454800024350155)	(20, 0.027559157832488326)	(22, 0.02761133673655741)	(24, 0.02767221212463801)	(26, 0.027767873448764663)	(28, 0.027837445320856778)	(30, 0.02792441016097192)	(32, 0.027959196097017976)	(34, 0.028028767969110087)	(36, 0.028063553905156146)	(38, 0.028141822261259775)	(40, 0.028194001165328858)	(42, 0.028307055457478542)	(44, 0.028420109749628227)	(46, 0.028480985137708824)	(48, 0.028489681621720338)	(50, 0.02861143239788154)	(52, 0.02869839723799668)	(54, 0.028759272626077276)	(56, 0.028837540982180904)	(58, 0.028898416370261505)	(60, 0.02895059527433059)	(62, 0.029011470662411186)	(64, 0.02909843550252633)	(66, 0.0291419179225839)	(68, 0.029211489794676013)	(70, 0.029289758150779638)	(72, 0.029341937054848725)	(74, 0.02939411595891781)	(76, 0.029515866735079006)	(78, 0.029672403447286264)	(80, 0.029794154223447458)	(82, 0.029968083903677743)	(84, 0.030159406551931056)	(86, 0.03031594326413831)	(88, 0.030446390524311022)	(90, 0.03075946394872553)	(92, 0.031055144405117013)	(94, 0.031481272121681204)	(96, 0.03187261390219934)	(98, 0.032463974814982303)	(100, 0.033246658376018576)	(102, 0.03419457513327362)	(104, 0.03537729695883954)	(106, 0.03667307307655515)	(108, 0.03869935385123795)	(110, 0.04158658654306064)	(112, 0.045004304759585695)	(114, 0.049769977997895454)	(116, 0.056135804294323806)	(118, 0.06369304890032959)	(120, 0.07289392898451155)	(122, 0.0846602718520902)	(124, 0.09993129777630905)	(126, 0.1188461505013523)	(128, 0.14259624833679743)	(130, 0.1690161667637774)	(132, 0.20367165554966127)	(134, 0.24080564227882667)	(136, 0.2817312960370122)	(138, 0.32775308942594505)
SRR11605262_kneaddata_paired_1 - illumina_universal_adapter	(1, 0.00011059021073886242)	(2, 0.00011059021073886242)	(3, 0.00011059021073886242)	(4, 0.0001474536143184832)	(5, 0.0001474536143184832)	(6, 0.0001474536143184832)	(7, 0.00022118042147772484)	(8, 0.00023961212326753523)	(9, 0.00027647552684715606)	(10, 0.0002949072286369664)	(12, 0.000322554781321682)	(14, 0.0003409864831114925)	(16, 0.00035941818490130284)	(18, 0.0004423608429554496)	(20, 0.0005253035010095964)	(22, 0.000645109562643364)	(24, 0.0007833473260669421)	(26, 0.0008755058350159941)	(28, 0.0009768801948599514)	(30, 0.0011519813618631502)	(32, 0.0015113995467644528)	(34, 0.001981407942404618)	(36, 0.0028661296283155175)	(38, 0.004690868105506747)	(40, 0.007704451348140748)	(42, 0.0118700159526379)	(44, 0.017381094787791207)	(46, 0.024790638907294993)	(48, 0.0347161103211079)	(50, 0.04721280413459934)	(52, 0.06337740660426307)	(54, 0.08301638486130605)	(56, 0.10604679624767416)	(58, 0.13523339603183893)	(60, 0.16900948956166648)	(62, 0.2060479943082905)	(64, 0.24921503990002647)	(66, 0.29802218623944443)	(68, 0.3522390370541717)	(70, 0.4121604995728453)	(72, 0.4786160003760067)	(74, 0.5516424028672355)	(76, 0.628290634760162)	(78, 0.7110766233490955)	(80, 0.8012629402066378)	(82, 0.9006743238099802)	(84, 1.0050438351947817)	(86, 1.114749324247733)	(88, 1.233173008247265)	(90, 1.3607388163345429)	(92, 1.4984328445553214)	(94, 1.6448358518717854)	(96, 1.7998648956258807)	(98, 1.9660911982172857)	(100, 2.1403537227890483)	(102, 2.3223299145598464)	(104, 2.5180745875676327)	(106, 2.7215882228798245)	(108, 2.936925794890179)	(110, 3.169874857960698)	(112, 3.4117632963992746)	(114, 3.664627813253684)	(116, 3.927961536724705)	(118, 4.206538277575899)	(120, 4.499943322516996)	(122, 4.807199791353136)	(124, 5.130749884571468)	(126, 5.4655156683289)	(128, 5.815496821913818)	(130, 6.181716304775562)	(132, 6.563243315973742)	(134, 6.965459912430985)	(136, 7.380901254922417)	(138, 7.812627005945146)
SRR11605262_kneaddata_paired_1 - polya	(1, 0.0008109948787516577)	(2, 0.004442040131344307)	(3, 0.006045598187057812)	(4, 0.008662899841210889)	(5, 0.01664382671619879)	(6, 0.03127859793730825)	(7, 0.03960972714630256)	(8, 0.04620827638705468)	(9, 0.05088992864166652)	(10, 0.06420683318480454)	(12, 0.0857627084279878)	(14, 0.10120847452784892)	(16, 0.13082821930407423)	(18, 0.15905637059516886)	(20, 0.18192089666542866)	(22, 0.1993480707076944)	(24, 0.21417637479759688)	(26, 0.23094922342632435)	(28, 0.24892934852228438)	(30, 0.27207956597028626)	(32, 0.29522056756739323)	(34, 0.3272456494271888)	(36, 0.345400875690152)	(38, 0.3640261103487554)	(40, 0.3855451221883591)	(42, 0.4081516044335616)	(44, 0.4366562312515033)	(46, 0.461087451973897)	(48, 0.4750402502287835)	(50, 0.4901173822928484)	(52, 0.5131017144247421)	(54, 0.5311371346260715)	(56, 0.5475413492190027)	(58, 0.5633465335037651)	(60, 0.577741692601607)	(62, 0.5953347519599811)	(64, 0.6226873974160598)	(66, 0.6402804567744338)	(68, 0.657071737104951)	(70, 0.6889309336486382)	(72, 0.7159978877269748)	(74, 0.7339872286738298)	(76, 0.7547597565909462)	(78, 0.7776519302138907)	(80, 0.7962218697671246)	(82, 0.8129209915886928)	(84, 0.8285142113028725)	(86, 0.848107110305441)	(88, 0.8676907934571145)	(90, 0.8872744766087881)	(92, 0.9057983369075475)	(94, 0.9255202578226447)	(96, 0.9400905180874898)	(98, 0.957084547137695)	(100, 0.9720971682454955)	(102, 0.9892478667609141)	(104, 1.0057258081610045)	(106, 1.0229963127380568)	(108, 1.0380181496967524)	(110, 1.0606614953455344)	(112, 1.0757017640060198)	(114, 1.0909263496844033)	(116, 1.1064366267405286)	(118, 1.1228869205879344)	(120, 1.1387289682762765)	(122, 1.1536033516206534)	(124, 1.1696573638795784)	(126, 1.1844211570132164)	(128, 1.2076727488210623)	(130, 1.225109138714223)	(132, 1.239697830680858)	(134, 1.2545998615779195)	(136, 1.2679351978228475)	(138, 1.281399555980304)
SRR11605262_kneaddata_paired_2 - illumina_universal_adapter	(1, 3.68634035796208e-05)	(2, 3.68634035796208e-05)	(3, 3.68634035796208e-05)	(4, 7.37268071592416e-05)	(5, 7.37268071592416e-05)	(6, 7.37268071592416e-05)	(7, 0.0001474536143184832)	(8, 0.00016588531610829362)	(9, 0.00020274871968791442)	(10, 0.00022118042147772484)	(12, 0.00023039627237263005)	(14, 0.00025804382505734564)	(16, 0.00027647552684715606)	(18, 0.0003502023340063976)	(20, 0.00045157669385035486)	(22, 0.0005898144572739328)	(24, 0.0007280522206975109)	(26, 0.0008202107296465628)	(28, 0.0009400167912803305)	(30, 0.0011243338091784345)	(32, 0.0014837519940797375)	(34, 0.001981407942404618)	(36, 0.002884561330105328)	(38, 0.004700083956401653)	(40, 0.007695235497245843)	(42, 0.01194374275979714)	(44, 0.01747325329674026)	(46, 0.024956524223403283)	(48, 0.034817484680951846)	(50, 0.04743398455607707)	(52, 0.0636170187275306)	(54, 0.08347717740605132)	(56, 0.10657209974868376)	(58, 0.13584164219090267)	(60, 0.16984813199310286)	(62, 0.20709860131030966)	(64, 0.25053290657799787)	(66, 0.29993908322558466)	(68, 0.3545245680761082)	(70, 0.41506349260474046)	(72, 0.4817401738293796)	(74, 0.5550430518474556)	(76, 0.6322718823467611)	(78, 0.715398857418806)	(80, 0.8058985132067751)	(82, 0.9052914651083277)	(84, 1.009872941063712)	(86, 1.1203894249954152)	(88, 1.2388776199512113)	(90, 1.3662775427223808)	(92, 1.5047641341201212)	(94, 1.6517016607884898)	(96, 1.807219144640015)	(98, 1.9740168299869043)	(100, 2.1494774151750047)	(102, 2.3323198969299237)	(104, 2.5288939965182515)	(106, 2.733015877989507)	(108, 2.9491367973259286)	(110, 3.1825743004938776)	(112, 3.4254027557237343)	(114, 3.6782304091745637)	(116, 3.943628483246044)	(118, 4.222555426431245)	(120, 4.516513422426035)	(122, 4.824590101991822)	(124, 5.148702362114743)	(126, 5.485016408822519)	(128, 5.835154231872652)	(130, 6.201475089094238)	(132, 6.583075827099578)	(134, 6.9860296916284135)	(136, 7.40136965976)	(138, 7.8322199049477135)
SRR11605262_kneaddata_paired_2 - polya	(1, 0.0012164923181274866)	(2, 0.0048291058689303255)	(3, 0.00683816136401966)	(4, 0.009234282596695011)	(5, 0.01557478801238979)	(6, 0.029988378812021526)	(7, 0.03712144740467815)	(8, 0.04370156494364046)	(9, 0.0481989001803542)	(10, 0.060603435484896606)	(12, 0.0797263260918249)	(14, 0.09556837378016694)	(16, 0.1242112383615323)	(18, 0.14993267820921272)	(20, 0.17191248259356162)	(22, 0.1904547745941109)	(24, 0.20612172111544974)	(26, 0.22202827976005612)	(28, 0.23852465286193641)	(30, 0.26043073043912607)	(32, 0.28350722107996873)	(34, 0.3141314936037387)	(36, 0.33016707416087376)	(38, 0.3488383880739517)	(40, 0.36950954163122407)	(42, 0.3917658215424201)	(44, 0.4200492679388842)	(46, 0.4440381278183224)	(48, 0.45819367479289674)	(50, 0.4730127630319043)	(52, 0.4954349282592087)	(54, 0.5128160230469999)	(56, 0.5286027756299725)	(58, 0.544306585554891)	(60, 0.5588952775215259)	(62, 0.5764146100727408)	(64, 0.603794903081504)	(66, 0.6204018663941233)	(68, 0.6382253220248699)	(70, 0.6699370649542387)	(72, 0.6961838083029287)	(74, 0.712882930124497)	(76, 0.7324573974252756)	(78, 0.7556997733822265)	(80, 0.7749240383489988)	(82, 0.7926276879181117)	(84, 0.8073177542445905)	(86, 0.8273990933445889)	(88, 0.8461441340648261)	(90, 0.8655619319003913)	(92, 0.8831181278551858)	(94, 0.9005545177483465)	(96, 0.9148298707845546)	(98, 0.9311511427194317)	(100, 0.9448643288510506)	(102, 0.9620242432173642)	(104, 0.9776727580369131)	(106, 0.9945285493236948)	(108, 1.0102968702048776)	(110, 1.0301662447342932)	(112, 1.0446535623410842)	(114, 1.058965778780872)	(116, 1.0747801789165292)	(118, 1.0908802704299285)	(120, 1.1069342826888535)	(122, 1.12088708094374)	(124, 1.1365079482106042)	(126, 1.150543689123545)	(128, 1.1727354580784768)	(130, 1.191176375719182)	(132, 1.20402327186668)	(134, 1.2187317698949485)	(136, 1.2324541718774624)	(138, 1.2458908824822341)
SRR11605263_1 - illumina_universal_adapter	(1, 2.5691836187824794e-05)	(2, 3.853775428173719e-05)	(3, 3.853775428173719e-05)	(4, 5.138367237564959e-05)	(5, 5.138367237564959e-05)	(6, 6.422959046956198e-05)	(7, 6.422959046956198e-05)	(8, 8.992142665738677e-05)	(9, 0.00011561326284521157)	(10, 0.00014772805807999255)	(12, 0.00016057397617390496)	(14, 0.00021838060759651074)	(16, 0.00022480356664346694)	(18, 0.00025691836187824793)	(20, 0.00027618723901911657)	(22, 0.0003339938704417223)	(24, 0.00036610866567650326)	(26, 0.0004110693790051967)	(28, 0.00043676121519302147)	(30, 0.00046887601042780246)	(32, 0.0005266826418504082)	(34, 0.0005587974370851892)	(36, 0.0006166040685077951)	(38, 0.0006744106999304008)	(40, 0.0007193714132590942)	(42, 0.0007771780446817001)	(44, 0.0008285617170573495)	(46, 0.0008927913075269116)	(48, 0.0010148275294190794)	(50, 0.0011754015055929841)	(52, 0.001265322932250371)	(54, 0.0014580117036590572)	(56, 0.0015736249665042686)	(58, 0.0017727366969599108)	(60, 0.0020296550588381587)	(62, 0.0022480356664346694)	(64, 0.0026334132092520413)	(66, 0.0030059448339755006)	(68, 0.0035262045167789528)	(70, 0.003962965731971974)	(72, 0.004643799390949331)	(74, 0.005324633049926688)	(76, 0.006056850381279694)	(78, 0.007078100869745731)	(80, 0.007913085545850036)	(82, 0.009133447764771714)	(84, 0.010450154369397734)	(86, 0.011863205359728098)	(88, 0.013828630828096695)	(90, 0.015980322108827022)	(92, 0.01831827920191908)	(94, 0.020630544458823306)	(96, 0.023251111749981436)	(98, 0.02635340096966128)	(100, 0.030027333544520224)	(102, 0.03424721763837045)	(104, 0.03838360326461024)	(106, 0.04310447816412305)	(108, 0.04838415050072104)	(110, 0.054042777421089455)	(112, 0.06039508391852913)	(114, 0.06749245366541573)	(116, 0.07451917086278581)	(118, 0.0826891747705141)	(120, 0.0914436679515154)	(122, 0.1016047891638001)	(124, 0.11235682260840478)	(126, 0.124200759090992)	(128, 0.13753482207247308)	(130, 0.1512992233101002)	(132, 0.1661876423809447)	(134, 0.18237992213832124)	(136, 0.20038347634693948)	(138, 0.22034603306487932)
