Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11605262_1	(1.0, 36.8828687009503)	(2.0, 18.60373821799385)	(3.0, 10.36754332571632)	(4.0, 6.435842696154973)	(5.0, 4.39098236759357)	(6.0, 3.0854975522679755)	(7.0, 2.2512521865314787)	(8.0, 1.7794043700478692)	(9.0, 1.3823999222318788)	('>10', 8.647869606946005)	('>50', 2.0614366356999705)	('>100', 3.343839509746694)	('>500', 0.6867226539088117)	('>1k', 0.08060225421034309)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605262_2	(1.0, 38.18099720205228)	(2.0, 18.17144478632969)	(3.0, 10.27303614022598)	(4.0, 6.464550512115361)	(5.0, 4.25131870480488)	(6.0, 3.0284417011818126)	(7.0, 2.180603187488278)	(8.0, 1.7288857996964946)	(9.0, 1.3425582496840207)	('>10', 8.412403067786697)	('>50', 1.9638261383962206)	('>100', 3.23854836369702)	('>500', 0.6940699733020526)	('>1k', 0.06931617323925891)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605262_kneaddata_paired_1	(1.0, 36.64316622046434)	(2.0, 19.056494940277265)	(3.0, 10.60480221861074)	(4.0, 6.58227535098387)	(5.0, 4.3600326893582295)	(6.0, 3.118465336323265)	(7.0, 2.2689381347754662)	(8.0, 1.7957259588705576)	(9.0, 1.3688091929278061)	('>10', 8.485325424392027)	('>50', 1.991276381706443)	('>100', 3.095827220911847)	('>500', 0.5464008568185241)	('>1k', 0.08246007357966129)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605262_kneaddata_paired_2	(1.0, 37.34878637529302)	(2.0, 18.85676604611467)	(3.0, 10.525639163719283)	(4.0, 6.656936789499793)	(5.0, 4.285848527092432)	(6.0, 3.0415838175359147)	(7.0, 2.2318180314296847)	(8.0, 1.757499704687715)	(9.0, 1.3479042914579202)	('>10', 8.34640398699496)	('>50', 1.9245645169962209)	('>100', 3.0687809519617337)	('>500', 0.5563536040230718)	('>1k', 0.05111419319360278)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605263_1	(1.0, 34.28164252568882)	(2.0, 19.327707610925)	(3.0, 10.925039767986366)	(4.0, 6.471137540257138)	(5.0, 4.251887592136372)	(6.0, 3.0583258360868664)	(7.0, 2.227193200891762)	(8.0, 1.8136359713427808)	(9.0, 1.5286734658637366)	('>10', 14.040169743183675)	('>50', 1.5679332972599418)	('>100', 0.4809192417061539)	('>500', 0.009887660565568526)	('>1k', 0.015846546105822527)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605263_2	(1.0, 35.11683005979056)	(2.0, 19.121752451912776)	(3.0, 10.827511462993456)	(4.0, 6.356811845824304)	(5.0, 4.141546398943914)	(6.0, 2.86954870855864)	(7.0, 2.2955839670006393)	(8.0, 1.8163427486625527)	(9.0, 1.4678408080785885)	('>10', 13.991412063815464)	('>50', 1.5352236569383257)	('>100', 0.4258853753243726)	('>500', 0.017707825062698662)	('>1k', 0.016002627093698048)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605263_kneaddata_paired_1	(1.0, 33.733568292172535)	(2.0, 19.736294527839245)	(3.0, 11.006929018896564)	(4.0, 6.512019584711227)	(5.0, 4.302470343262935)	(6.0, 3.057923972888607)	(7.0, 2.2592610598244143)	(8.0, 1.8339434413563644)	(9.0, 1.5646136495187126)	('>10', 13.99335333293307)	('>50', 1.5143661123002656)	('>100', 0.45911803988177935)	('>500', 0.010012473658416619)	('>1k', 0.016126150755904345)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605263_kneaddata_paired_2	(1.0, 34.35112306296277)	(2.0, 19.501378031439668)	(3.0, 10.985761188530061)	(4.0, 6.419148902312981)	(5.0, 4.1629150885587665)	(6.0, 2.913113548155809)	(7.0, 2.3057913589100845)	(8.0, 1.8452209345752992)	(9.0, 1.5196235099529707)	('>10', 14.036674904572447)	('>50', 1.512420262716229)	('>100', 0.41242875986635225)	('>500', 0.018056069289457247)	('>1k', 0.016344378157151316)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605264_1	(1.0, 16.48670587165945)	(2.0, 10.276871496079314)	(3.0, 7.8995553652732395)	(4.0, 6.205696925781071)	(5.0, 5.102494498426764)	(6.0, 4.2815992290150975)	(7.0, 3.6686168283245224)	(8.0, 3.1421073583015144)	(9.0, 2.809564909820866)	('>10', 28.899419480030435)	('>50', 4.743183119371324)	('>100', 5.429318651367971)	('>500', 0.7275660958943979)	('>1k', 0.3273001706539574)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605264_2	(1.0, 19.29026960196661)	(2.0, 10.394882881470311)	(3.0, 7.764812091462574)	(4.0, 6.147282916018559)	(5.0, 4.999756420868705)	(6.0, 4.250607680886068)	(7.0, 3.6386836020945084)	(8.0, 3.0054118555692746)	(9.0, 2.698071854612977)	('>10', 27.138709142080124)	('>50', 4.4995511114366105)	('>100', 5.180700184373094)	('>500', 0.733689451716095)	('>1k', 0.25757120544456774)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605264_kneaddata_paired_1	(1.0, 15.178114039058618)	(2.0, 10.588936768011589)	(3.0, 8.181587331063064)	(4.0, 6.370651398070266)	(5.0, 5.210230347265208)	(6.0, 4.411173958311343)	(7.0, 3.770986756671161)	(8.0, 3.2153757040485313)	(9.0, 2.868756448900569)	('>10', 29.056326495913883)	('>50', 4.73665275597162)	('>100', 5.373664472235566)	('>500', 0.7398666864561366)	('>1k', 0.297676838022526)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605264_kneaddata_paired_2	(1.0, 17.333839590076472)	(2.0, 10.762993362542526)	(3.0, 8.061740649866238)	(4.0, 6.3829611676937255)	(5.0, 5.157268071885493)	(6.0, 4.36365803171811)	(7.0, 3.7523410937241466)	(8.0, 3.0816084525415315)	(9.0, 2.781407920241233)	('>10', 27.5564056240342)	('>50', 4.5344898438041215)	('>100', 5.237947047231831)	('>500', 0.7405628283005967)	('>1k', 0.2527763163398097)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605265_1	(1.0, 16.52667879510621)	(2.0, 9.03375881673581)	(3.0, 6.8121370117150954)	(4.0, 5.02113007057312)	(5.0, 4.261199562880267)	(6.0, 3.599130646825584)	(7.0, 3.127015773533192)	(8.0, 2.736583858411051)	(9.0, 2.40530650150869)	('>10', 31.288847389926527)	('>50', 7.857207505687322)	('>100', 6.258529581556285)	('>500', 0.2829247932824555)	('>1k', 0.3549740748757275)	('>5k', 0.0)	('>10k+', 0.4345756173826082)
