Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11605261_kneaddata_paired_1	(1, 36.53448220350101)	(2, 36.47815709832834)	(3, 36.482208146338785)	(4, 36.530913949429014)	(5, 36.55912968303313)	(6, 36.56311249274968)	(7, 36.52313670613115)	(8, 36.50544632889993)	(9, 36.52221020309863)	(10, 36.53167879498221)	(15, 36.51290102612133)	(20, 36.50092651905091)	(25, 36.45279145079898)	(30, 36.40699509789552)	(35, 36.389296871658665)	(40, 36.36209295497282)	(45, 36.32640887648853)	(50, 36.32715775511703)	(55, 36.34588844215652)	(60, 36.32722890180767)	(65, 36.29725018583746)	(70, 36.277771240161016)	(75, 36.28137279707617)	(80, 36.24426221242051)	(85, 36.21178698438268)	(90, 36.221821040035664)	(95, 36.19512241458546)	(100, 36.19806050500256)	(105, 36.1459824256561)	(110, 36.13377501741157)	(115, 36.087460979338786)	(120, 36.06011634144139)	(125, 36.043669762919045)	(130, 36.01734876734646)	(135, 36.01048381178551)	(140, 35.92505751610692)	(145, 35.86768704349102)	(150, 36.36350010318701)
SRR11605261_kneaddata_paired_2	(1, 36.318153676802616)	(2, 36.15929076385081)	(3, 36.25072302957521)	(4, 36.347729851322214)	(5, 36.37991654104253)	(6, 36.372707149274795)	(7, 36.35208028283331)	(8, 36.36521214981221)	(9, 36.35310609981468)	(10, 36.37200650538402)	(15, 36.358456526680456)	(20, 36.332110362145116)	(25, 36.288365002469234)	(30, 36.26588894233688)	(35, 36.24260914402749)	(40, 36.207610459937314)	(45, 36.1720586932623)	(50, 36.124933873329304)	(55, 36.1245086568938)	(60, 36.09060915052331)	(65, 36.060779215683276)	(70, 36.02565583192833)	(75, 36.009734298765366)	(80, 35.967892054434934)	(85, 35.94722480601027)	(90, 35.89272551591856)	(95, 35.90282661536611)	(100, 35.83718049890515)	(105, 35.7869165489865)	(110, 35.831429004103576)	(115, 35.736067278113374)	(120, 35.699056940006905)	(125, 35.725011057215724)	(130, 35.59346549541699)	(135, 35.57918063730598)	(140, 35.474018418470784)	(145, 35.53114270976353)	(150, 36.16050919424264)
SRR11605262_1	(1, 36.272192470584145)	(2, 36.26879197140596)	(3, 36.29364200053918)	(4, 36.24505404864813)	(5, 36.3397281479098)	(6, 36.42342067502109)	(7, 36.32865369731018)	(8, 36.39645600883563)	(9, 36.394687491847044)	(10, 36.273519519258365)	(15, 36.31433632782266)	(20, 36.29816538973294)	(25, 36.25082754002557)	(30, 36.20133240570837)	(35, 36.19445268677874)	(40, 36.09008673873153)	(45, 36.13118562645123)	(50, 36.13855711415874)	(55, 36.116138935028566)	(60, 36.09775790727808)	(65, 36.07874972388663)	(70, 35.99068053465984)	(75, 36.02582653992991)	(80, 35.996055483567986)	(85, 36.000080633799755)	(90, 35.97532017845185)	(95, 35.939496438789796)	(100, 35.77591119150527)	(105, 35.82181126890398)	(110, 35.767897242344915)	(115, 35.71262931236901)	(120, 35.59560691892268)	(125, 35.597420692414055)	(130, 35.43158778665785)	(135, 35.391567854316506)	(140, 35.276218838323665)	(145, 35.21651709293933)	(150, 35.134639661184984)
SRR11605262_2	(1, 35.93362025932915)	(2, 35.83320978528381)	(3, 35.91913383019245)	(4, 36.02374070563271)	(5, 36.05445703502074)	(6, 36.121926619067914)	(7, 36.14613015157972)	(8, 36.11981441703119)	(9, 36.177800311334124)	(10, 36.20563744358156)	(15, 36.1871330996878)	(20, 36.127488229308895)	(25, 36.071281670420646)	(30, 36.03118545252154)	(35, 36.00364323543992)	(40, 36.03750605710111)	(45, 36.018422562158115)	(50, 35.96942650166538)	(55, 35.89043299793893)	(60, 35.863776674290584)	(65, 35.816854238231485)	(70, 35.83622050804859)	(75, 35.73012013323013)	(80, 35.689118576559494)	(85, 35.581950134360675)	(90, 35.557174373200915)	(95, 35.51754526085104)	(100, 35.41740281244294)	(105, 35.398544834723324)	(110, 35.25979726756473)	(115, 35.17451095322161)	(120, 35.061978519684494)	(125, 34.917488664133096)	(130, 34.89429395855255)	(135, 34.742014279626744)	(140, 34.65696489229405)	(145, 34.4948168607432)	(150, 34.38186696118759)
SRR11605262_kneaddata_paired_1	(1, 36.49230909595268)	(2, 36.44670372053116)	(3, 36.51983757984383)	(4, 36.49507606302536)	(5, 36.573899235729485)	(6, 36.623061376645374)	(7, 36.53765292552579)	(8, 36.59650756114487)	(9, 36.597186585038806)	(10, 36.49358855096412)	(15, 36.53170682166499)	(20, 36.51376842594188)	(25, 36.499461628422424)	(30, 36.46503386364411)	(35, 36.45989259847367)	(40, 36.3746984711825)	(45, 36.411816232246814)	(50, 36.41305618222836)	(55, 36.408957886647386)	(60, 36.399138122531326)	(65, 36.38729098296399)	(70, 36.32453852965355)	(75, 36.36547287005184)	(80, 36.34537289579432)	(85, 36.35991282618069)	(90, 36.3463722518224)	(95, 36.31822492899281)	(100, 36.192645088422765)	(105, 36.248804918234626)	(110, 36.21531306399434)	(115, 36.19194675974225)	(120, 36.10799731728593)	(125, 36.14480016988928)	(130, 36.03486792560407)	(135, 36.02910619102812)	(140, 35.96118530691128)	(145, 35.95989732605213)	(150, 36.41279392231548)
SRR11605262_kneaddata_paired_2	(1, 36.228154240166916)	(2, 36.07303193200177)	(3, 36.21588831125983)	(4, 36.34852080985211)	(5, 36.37396909187927)	(6, 36.40127105015542)	(7, 36.41949281486185)	(8, 36.399827479271245)	(9, 36.449472346457014)	(10, 36.469289264363134)	(15, 36.455253855220825)	(20, 36.4046002209961)	(25, 36.35382486381276)	(30, 36.32311340933953)	(35, 36.297459650700816)	(40, 36.32307179055689)	(45, 36.30150544610709)	(50, 36.26112967240745)	(55, 36.18601106211405)	(60, 36.17568172987385)	(65, 36.1351712493218)	(70, 36.16181570600308)	(75, 36.07262896159959)	(80, 36.04783684928664)	(85, 35.94569701701589)	(90, 35.93601051461044)	(95, 35.90950644040297)	(100, 35.8250151695731)	(105, 35.82578734456339)	(110, 35.70759692364941)	(115, 35.64232723683008)	(120, 35.56138690841188)	(125, 35.45282605041376)	(130, 35.46576684106662)	(135, 35.35977929253981)	(140, 35.31926704033815)	(145, 35.214219923673454)	(150, 36.019721175786756)
SRR11605263_1	(1, 36.35472538381676)	(2, 36.33853336097775)	(3, 36.337786242381405)	(4, 36.40518003939586)	(5, 36.42980566438189)	(6, 36.436092456697054)	(7, 36.4071490617213)	(8, 36.398118638219636)	(9, 36.403341017761534)	(10, 36.39716757782763)	(15, 36.36813143532324)	(20, 36.331535932473635)	(25, 36.246121264952976)	(30, 36.21246156822454)	(35, 36.17255816439024)	(40, 36.191635585967845)	(45, 36.18660777070139)	(50, 36.16038573209015)	(55, 36.12740221879835)	(60, 36.114081875257405)	(65, 36.0650666561844)	(70, 36.04974610042888)	(75, 36.03952766073005)	(80, 36.00277697918987)	(85, 35.975486853872795)	(90, 35.95055215609743)	(95, 35.91759145715616)	(100, 35.88770411842703)	(105, 35.85731946282481)	(110, 35.80371827668412)	(115, 35.78587632412511)	(120, 35.738351822463244)	(125, 35.71758079504415)	(130, 35.66482774779969)	(135, 35.67708879124278)	(140, 35.56627239974853)	(145, 35.503849510583365)	(150, 35.48457654844054)
SRR11605263_2	(1, 36.28290231424353)	(2, 36.20304206755566)	(3, 36.196702735435494)	(4, 36.258687758636505)	(5, 36.27832878202455)	(6, 36.24894657048671)	(7, 36.22024429339358)	(8, 36.21891910848301)	(9, 36.23384555147141)	(10, 36.21657845374712)	(15, 36.18981262173114)	(20, 36.172407045009784)	(25, 36.128077605788064)	(30, 36.105770874552675)	(35, 36.07552081848024)	(40, 36.04844486030963)	(45, 36.004147433115804)	(50, 35.9647984334146)	(55, 35.94175722396627)	(60, 35.91955996564487)	(65, 35.85551694928971)	(70, 35.82136024399023)	(75, 35.794147451100095)	(80, 35.749071098816714)	(85, 35.73356127130399)	(90, 35.665492369910034)	(95, 35.67529604060543)	(100, 35.610099589264614)	(105, 35.57486367269423)	(110, 35.574546635435674)	(115, 35.468835417326616)	(120, 35.41631809267919)	(125, 35.42243680900201)	(130, 35.34312631622488)	(135, 35.26308519901024)	(140, 35.230491919018306)	(145, 35.194427081045156)	(150, 35.05380872479342)
SRR11605263_kneaddata_paired_1	(1, 36.5161567507011)	(2, 36.481859010843316)	(3, 36.500050109727624)	(4, 36.56942812857182)	(5, 36.589153078879114)	(6, 36.5857739083786)	(7, 36.55732466099201)	(8, 36.5491458993762)	(9, 36.55654799357581)	(10, 36.551573905843085)	(15, 36.52698765806083)	(20, 36.49681423569987)	(25, 36.456320291236935)	(30, 36.43349158043145)	(35, 36.4166625320025)	(40, 36.404608520255074)	(45, 36.390106511528906)	(50, 36.36435698897141)	(55, 36.34149495205886)	(60, 36.33749650405448)	(65, 36.30191610174815)	(70, 36.29386931341978)	(75, 36.2892688911614)	(80, 36.26093527636206)	(85, 36.243288175984034)	(90, 36.22660744137415)	(95, 36.20123826025878)	(100, 36.180882398293505)	(105, 36.15930361928114)	(110, 36.113908317487855)	(115, 36.10609163735412)	(120, 36.067981936330725)	(125, 36.056614609037034)	(130, 36.01287912468081)	(135, 36.03214190701948)	(140, 35.935273331645014)	(145, 35.888664804124446)	(150, 36.389697571812874)
SRR11605263_kneaddata_paired_2	(1, 36.45860182516843)	(2, 36.36646918585371)	(3, 36.3847663759057)	(4, 36.45547020072583)	(5, 36.47181517984455)	(6, 36.43307709091346)	(7, 36.409709009942546)	(8, 36.41184818153734)	(9, 36.42866529971422)	(10, 36.413147698255365)	(15, 36.387670364733424)	(20, 36.371033775024)	(25, 36.32991492022144)	(30, 36.31075904560653)	(35, 36.28223669540025)	(40, 36.257717865552465)	(45, 36.21411015199061)	(50, 36.17551438181105)	(55, 36.15828046265386)	(60, 36.1429424000612)	(65, 36.08624709948298)	(70, 36.05869365339432)	(75, 36.03957106201183)	(80, 36.00143090246881)	(85, 35.99286319514203)	(90, 35.932931291908865)	(95, 35.95070750511844)	(100, 35.893702754142495)	(105, 35.867401998796446)	(110, 35.87450270509415)	(115, 35.78055768987734)	(120, 35.7393317293007)	(125, 35.756545300155096)	(130, 35.688728757455785)	(135, 35.62241928911253)	(140, 35.603211215787866)	(145, 35.5883424409601)	(150, 36.2021214972436)
