Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11605261_kneaddata_paired_1	(1, 0.0)	(2, 6.407351538861627e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00028192346770991166)	(25, 0.000137758058085525)	(30, 0.0003876447681011285)	(35, 0.005779431088053189)	(40, 0.001400006311241266)	(45, 0.00044531093195088314)	(50, 0.0)	(55, 0.0)	(60, 0.0018226696710177681)	(65, 0.0014743591559506295)	(70, 0.0013957022491983496)	(75, 9.68249235615641e-06)	(80, 6.463312541395497e-06)	(85, 0.0)	(90, 1.9440370066884594e-05)	(95, 5.515413081404836e-05)	(100, 3.2487846865025115e-06)	(105, 0.0001594061399081014)	(110, 3.257761943606838e-05)	(115, 0.0)	(120, 0.0009050139208783901)	(125, 0.0009620639216212413)	(130, 0.0)	(135, 0.00023637552020260534)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11605261_kneaddata_paired_2	(1, 0.0656753532733317)	(2, 0.0)	(3, 0.0)	(4, 0.0007849005635105495)	(5, 0.04554025106245902)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010251762462178604)	(15, 3.2036757694308137e-06)	(20, 0.00024347935847674187)	(25, 0.0)	(30, 3.2036757694308137e-06)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 1.2839392900862136e-05)	(60, 2.892949210965782e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 1.2934263867390167e-05)	(85, 3.2387741900400634e-06)	(90, 0.0)	(95, 0.0)	(100, 0.001526995224379413)	(105, 0.00011743382049666417)	(110, 0.00033663491567540485)	(115, 0.0)	(120, 0.0001739153889819482)	(125, 9.866497734685007e-06)	(130, 0.000560422255093002)	(135, 0.0013121533927808228)	(140, 0.00104736561859949)	(145, 2.9924967134904842e-05)	(150, 0.0)
SRR11605262_1	(1, 0.07571158980424214)	(2, 0.015618885284679402)	(3, 0.0005913609127829618)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0004626529494125525)	(20, 0.0008522554331283861)	(25, 0.002052370226717338)	(30, 0.0001982798354625225)	(35, 0.0)	(40, 2.7828748836845263e-05)	(45, 0.00015305811860264894)	(50, 9.740062092895842e-05)	(55, 0.00010087921453356408)	(60, 0.0002330657715085791)	(65, 0.0)	(70, 0.00017740827383488857)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00012870796337040934)	(95, 0.00012870796337040934)	(100, 0.0009913991773126125)	(105, 5.5657497673690526e-05)	(110, 0.0)	(115, 0.00017740827383488857)	(120, 0.000406995451738862)	(125, 0.0)	(130, 0.0)	(135, 0.00021915139709015647)	(140, 0.00011827218255659237)	(145, 1.0435780813816973e-05)	(150, 0.0)
SRR11605262_2	(1, 0.011635895607405926)	(2, 0.004383027941803129)	(3, 0.0002087156162763395)	(4, 0.0)	(5, 0.0)	(6, 1.739296802302829e-05)	(7, 0.0)	(8, 0.0009218273052204994)	(9, 3.478593604605658e-05)	(10, 0.00010087921453356408)	(15, 1.3914374418422632e-05)	(20, 0.0)	(25, 0.00026437311395003)	(30, 6.957187209211316e-06)	(35, 0.00012870796337040934)	(40, 8.348624651053579e-05)	(45, 0.0)	(50, 0.0)	(55, 6.957187209211316e-06)	(60, 0.0006331040360382297)	(65, 0.00017740827383488857)	(70, 0.0)	(75, 0.0)	(80, 2.7828748836845263e-05)	(85, 0.0001808868674394942)	(90, 0.00013566515057962064)	(95, 3.478593604605658e-06)	(100, 0.0002608945203454243)	(105, 4.870031046447921e-05)	(110, 0.00011479358895198672)	(115, 6.261468488290184e-05)	(120, 0.0)	(125, 0.0)	(130, 1.3914374418422632e-05)	(135, 0.0003478593604605658)	(140, 0.0)	(145, 0.0)	(150, 1.739296802302829e-05)
SRR11605262_kneaddata_paired_1	(1, 0.07660215263845203)	(2, 0.015722241626708273)	(3, 0.0005898144572739329)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00027647552684715606)	(20, 0.0008589173034051648)	(25, 0.0015924990346396187)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.686340357962081e-05)	(50, 1.4757001256337304e-05)	(55, 1.1090167945067293e-05)	(60, 8.148368455887881e-05)	(65, 0.0)	(70, 0.00013384213171850322)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 9.740309852742999e-05)	(95, 8.632852334572874e-05)	(100, 0.0009329648924558577)	(105, 5.657038851675421e-05)	(110, 0.0)	(115, 0.00015548388043623316)	(120, 0.00030063105502815525)	(125, 0.0)	(130, 0.0)	(135, 0.00018119387953290222)	(140, 6.201568896155233e-05)	(145, 0.0)	(150, 0.0)
SRR11605262_kneaddata_paired_2	(1, 0.011630403829370363)	(2, 0.003594181849013029)	(3, 0.00012902191252867282)	(4, 0.0)	(5, 0.0)	(6, 1.8431701789810404e-05)	(7, 0.0)	(8, 0.0008662899841210889)	(9, 0.0)	(10, 5.529510536943121e-05)	(15, 0.0)	(20, 0.0)	(25, 0.00025804382505734564)	(30, 3.6863403579620803e-06)	(35, 6.266778608535537e-05)	(40, 4.4236084295544965e-05)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0005403534674093394)	(65, 0.00010009668598409129)	(70, 0.0)	(75, 0.0)	(80, 7.453324857412305e-06)	(85, 8.961137897238375e-05)	(90, 0.0001047567613474488)	(95, 0.0)	(100, 0.00021796951177760677)	(105, 0.0)	(110, 2.267141174276351e-05)	(115, 3.4117500063686e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0002277938363852624)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11605263_1	(1, 0.0)	(2, 0.00023122652569042314)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.002086177098451373)	(25, 0.060663563606691895)	(30, 0.0645944145434291)	(35, 0.12641154159495432)	(40, 0.026203103727962505)	(45, 0.001371944052429844)	(50, 2.3122652569042314e-05)	(55, 5.1383672375649585e-06)	(60, 0.0036122721680081657)	(65, 0.011980103214382701)	(70, 0.010109737539909056)	(75, 0.0024355860706057903)	(80, 0.0025794603532576094)	(85, 0.0024201709688930957)	(90, 0.0017830134314350406)	(95, 0.0004085001953864142)	(100, 3.5968570662954715e-05)	(105, 0.0012126546680653301)	(110, 0.00039565427729250184)	(115, 0.0009557363061870823)	(120, 0.001120164057789161)	(125, 0.004511486434582034)	(130, 0.0)	(135, 0.00014644346627060132)	(140, 2.5691836187824793e-06)	(145, 0.00012075163008277652)	(150, 2.5691836187824794e-05)
SRR11605263_2	(1, 0.06232839459166295)	(2, 0.0)	(3, 0.0009891356932312547)	(4, 0.0009249061027616926)	(5, 0.041710696050933554)	(6, 1.2845918093912397e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.3122652569042314e-05)	(15, 4.624530513808463e-05)	(20, 0.00034170142129806975)	(25, 5.1383672375649585e-06)	(30, 1.0276734475129917e-05)	(35, 2.5691836187824793e-06)	(40, 2.5691836187824793e-06)	(45, 0.0)	(50, 0.0)	(55, 1.5415101712694877e-05)	(60, 1.2845918093912397e-05)	(65, 2.5691836187824793e-06)	(70, 0.0)	(75, 0.0)	(80, 5.395285599443206e-05)	(85, 0.0)	(90, 2.5691836187824793e-06)	(95, 0.0)	(100, 0.0015697711910760948)	(105, 0.00041620774624276163)	(110, 0.0002209497912152932)	(115, 5.1383672375649585e-06)	(120, 0.0009017834501926502)	(125, 7.964469218225686e-05)	(130, 0.0014926956825126205)	(135, 0.002181236892346325)	(140, 0.002170960157871195)	(145, 0.00016442775160207867)	(150, 0.0)
SRR11605263_kneaddata_paired_1	(1, 0.0)	(2, 0.0001868272135188172)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00022686161641570656)	(25, 0.0003549717056857526)	(30, 0.0007366330133027648)	(35, 0.006013167315112786)	(40, 0.001515969389695545)	(45, 0.00033628898433387094)	(50, 5.341130386686891e-06)	(55, 0.0)	(60, 0.0021455391816302847)	(65, 0.0014433571392468338)	(70, 0.0012547919213755443)	(75, 2.421772705329999e-05)	(80, 4.042206456179814e-05)	(85, 8.096254535015775e-05)	(90, 1.0811091314801681e-05)	(95, 2.977486843027002e-05)	(100, 1.6265644432362082e-05)	(105, 0.00019278003472212793)	(110, 2.4475643335486282e-05)	(115, 0.0)	(120, 0.0007039004158796441)	(125, 0.0006258458826364608)	(130, 0.0)	(135, 6.581855617617883e-05)	(140, 0.0)	(145, 2.753423517315165e-06)	(150, 0.0)
SRR11605263_kneaddata_paired_2	(1, 0.06019839715595602)	(2, 0.0)	(3, 1.33448009656298e-05)	(4, 0.0005337920386251919)	(5, 0.04022123011040821)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.0675840772503838e-05)	(15, 8.00688057937788e-06)	(20, 0.00022152369602945467)	(25, 2.6689601931259594e-06)	(30, 2.6689601931259594e-06)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 8.020871162323958e-06)	(60, 8.031282380290054e-06)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 2.6918109807099173e-05)	(85, 0.0)	(90, 2.699998107301327e-06)	(95, 0.0)	(100, 0.0011973915069833118)	(105, 0.0002333837234120646)	(110, 0.00013593349828772727)	(115, 0.0)	(120, 0.00015284561552935473)	(125, 0.0)	(130, 0.0009238755598288379)	(135, 0.0013822734721714825)	(140, 0.0012755362073211922)	(145, 9.394792444442651e-05)	(150, 0.0)
